Puzzle	Solution	SolutionBFS	A*-h1	A*-h2
ABCDEFG#IJKHMNOL	2	4	5	5
ABCDEFGHIJ#LMNKO	2	8	6	6
ABCDEFGHIJKLM#NO	2	8	5	5
ABCDEFG#IJKHMNOL	2	4	5	5
ABCDEFGHIJ#KMNOL	2	13	6	6
ABCDEFGHIJKLM#NO	2	8	5	5
ABCDEFGHIJ#LMNKO	2	8	6	6
ABCDEFGHIJKLM#NO	2	8	5	5
ABCDEFG#IJKHMNOL	2	4	5	5
ABCDEFGHIJ#KMNOL	2	13	6	6
AB#CEFGDIJKHMNOL	4	50	8	8
AB#CEFGDIJKHMNOL	4	50	8	8
AB#DEFCGIJKHMNOL	4	38	10	10
ABCDEFGHINJLM#KO	4	37	11	11
ABCDEFGHIJLOMNK#	4	24	11	9
ABCDEFGHIJOKMNL#	4	35	11	9
ABCDE#GHIFKLMJNO	4	42	11	11
AB#DEFCGIJKHMNOL	4	38	10	10
ABCDEFGH#JKLIMNO	4	37	8	8
ABCDEFGH#IKLMJNO	4	47	10	10
#AGCEBFDIJKHMNOL	8	728	17	17
AFBCE#HDIJGKMNOL	8	830	19	22
EABCIFGD#JKHMNOL	8	583	15	19
ABCDEFGH#MKLJINO	8	761	39	32
ABCDEFL#IJHGMNKO	8	741	55	36
ABCDE#GHMFJKNIOL	8	863	28	34
ABCDFGKHEI#LMJNO	8	875	21	31
ABCDEFGHMIJLNKO#	8	856	25	24
EACDB#GHIFKLMJNO	8	1091	29	61
AFBCIEGD#JKHMNOL	8	615	17	27
ABDHEFGCIJ#LMNKO	8	884	45	37
FBDHAEC#IJGKMNOL	12	11573	107	134
ABCDEGOHIJFLM#KN	14	56744	742	291
EC#DBAJHIGFLMNKO	14	61379	230	138
BGDHACF#ENJLIMKO	16	177667	112	86
BCGDAFJH#EKLINMO	16	267214	457	695
BCDHAFGOEJLKIMN#	16	129436	148	84
AFBGEJKC#NHDIMOL	16	206193	368	59
EB#CFJGDAIKHMNOL	16	264355	781	719
FCGDBAKH#EJLIMNO	16	277920	431	200
BGFCAJLDENKHI#MO	20	1000000	1384	888
AFCGIEBD#NKHJMOL	22	1000000	19924	6295
